timestamp,area,hour,day_of_week,month,temperature,humidity,wind_speed,solar_radiation,heat_index,estimated_wbgt,estimated_utci,thermal_stress_score,elderly,children,outdoor_workers,population_density,housing_vulnerability,healthcare_vulnerability,vulnerability_score,risk_score
2025-03-01 00:00:00,Tadepalligudem,0,5,3,32.7,43.4,11.0,0.0,34.0,26.1,31.7,33.9,45.0,40.0,72.0,65.0,55.0,40.0,55.0,40.2
2025-03-01 01:00:00,Tadepalligudem,1,5,3,32.0,44.9,8.5,0.0,33.2,25.7,31.5,32.1,45.0,40.0,72.0,65.0,55.0,40.0,55.0,39.0
2025-03-01 02:00:00,Tadepalligudem,2,5,3,30.9,49.6,7.8,0.0,32.4,25.4,30.6,29.8,45.0,40.0,72.0,65.0,55.0,40.0,55.0,37.4
2025-03-01 03:00:00,Tadepalligudem,3,5,3,29.4,50.8,7.9,0.0,30.3,24.2,28.8,23.6,45.0,40.0,72.0,65.0,55.0,40.0,55.0,33.0
2025-03-01 04:00:00,Tadepalligudem,4,5,3,28.6,49.9,5.1,0.0,29.1,23.3,28.4,20.3,45.0,40.0,72.0,65.0,55.0,40.0,55.0,30.7
2025-03-01 05:00:00,Tadepalligudem,5,5,3,28.0,53.2,10.7,0.0,28.7,23.2,26.4,17.7,45.0,40.0,72.0,65.0,55.0,40.0,55.0,28.9
2025-03-01 06:00:00,Tadepalligudem,6,5,3,27.9,52.6,9.9,36.6,28.6,23.1,26.8,17.8,45.0,40.0,72.0,65.0,55.0,40.0,55.0,29.0
2025-03-01 07:00:00,Tadepalligudem,7,5,3,29.1,49.6,11.5,180.5,29.7,24.0,28.7,22.5,45.0,40.0,72.0,65.0,55.0,40.0,55.0,32.2
2025-03-01 08:00:00,Tadepalligudem,8,5,3,29.2,53.0,11.3,360.0,30.3,24.7,30.5,26.2,45.0,40.0,72.0,65.0,55.0,40.0,55.0,34.8
2025-03-01 09:00:00,Tadepalligudem,9,5,3,30.7,52.3,10.1,530.0,32.6,26.2,33.8,34.7,45.0,40.0,72.0,65.0,55.0,40.0,55.0,40.8
2025-03-01 10:00:00,Tadepalligudem,10,5,3,32.9,40.7,8.6,654.7,33.8,26.8,36.8,40.1,45.0,40.0,72.0,65.0,55.0,40.0,55.0,44.6
2025-03-01 11:00:00,Tadepalligudem,11,5,3,33.0,43.3,14.5,742.9,34.5,27.2,36.1,40.9,45.0,40.0,72.0,65.0,55.0,40.0,55.0,45.1
2025-03-01 12:00:00,Tadepalligudem,12,5,3,35.2,37.0,12.8,713.0,36.7,28.2,38.7,47.6,45.0,40.0,72.0,65.0,55.0,40.0,55.0,49.8
2025-03-01 13:00:00,Tadepalligudem,13,5,3,36.3,37.0,10.5,733.0,38.7,29.2,40.7,53.6,45.0,40.0,72.0,65.0,55.0,40.0,55.0,54.0
2025-03-01 14:00:00,Tadepalligudem,14,5,3,37.9,30.2,16.5,632.6,39.3,29.1,40.8,54.2,45.0,40.0,72.0,65.0,55.0,40.0,55.0,54.4
2025-03-01 15:00:00,Tadepalligudem,15,5,3,39.2,29.6,14.1,509.3,41.5,29.9,42.0,59.2,45.0,40.0,72.0,65.0,55.0,40.0,55.0,57.9
2025-03-01 16:00:00,Tadepalligudem,16,5,3,39.3,29.5,14.1,363.0,41.6,29.9,41.3,58.6,45.0,40.0,72.0,65.0,55.0,40.0,55.0,57.5
2025-03-01 17:00:00,Tadepalligudem,17,5,3,38.6,26.8,17.5,214.4,39.4,28.5,39.2,51.6,45.0,40.0,72.0,65.0,55.0,40.0,55.0,52.6
2025-03-01 18:00:00,Tadepalligudem,18,5,3,39.1,30.0,11.9,9.0,41.4,29.4,39.1,55.3,45.0,40.0,72.0,65.0,55.0,40.0,55.0,55.2
2025-03-01 19:00:00,Tadepalligudem,19,5,3,38.8,31.8,12.7,0.0,41.6,29.5,38.7,55.2,45.0,40.0,72.0,65.0,55.0,40.0,55.0,55.1
